customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,ChurnFlag,ServiceCount,CustomerLifetimeValue,AvgMonthlySpend,TenureGroup,SupportRisk,HighValueCustomer,CustomerSegment,ChurnProbability,ChurnProbabilityPct,RiskLevel,RetentionRecommendation
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,0,1,202.25,16.854166666666668,7-12 Months,0,0,0,0.021474704,2.15,Low,Maintain loyalty and engagement
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,1,1,20.15,20.15,0-6 Months,0,0,0,0.48625362,48.63,Medium,Monitor customer and send personalized engagement offer
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,0,4,3505.1,60.432758620689654,49-72 Months,0,0,2,0.020206407,2.02,Low,Maintain loyalty and engagement
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,0,4,2970.3,60.61836734693878,49-72 Months,0,0,2,0.10829809,10.83,Low,Maintain loyalty and engagement
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,0,3,1530.6,51.019999999999996,25-48 Months,0,0,3,0.114826515,11.48,Low,Maintain loyalty and engagement
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,1,5,4749.15,101.04574468085106,25-48 Months,1,1,1,0.64085346,64.09,High,Offer technical support and security services
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,1,1,30.2,30.2,0-6 Months,1,0,0,0.580007,58.0,High,Offer technical support and security services
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,0,8,6369.45,88.46458333333334,49-72 Months,0,1,1,0.0035065645,0.35,Low,Maintain loyalty and engagement
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1,3,1093.1,64.3,13-24 Months,1,0,3,0.28732553,28.73,Low,Maintain loyalty and engagement
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,0,6,6766.95,95.30915492957746,49-72 Months,0,1,1,0.013497343,1.35,Low,Maintain loyalty and engagement
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,0,4,181.65,90.825,0-6 Months,1,1,3,0.7312305,73.12,Critical,Offer contract upgrade with personalized retention incentive
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,0,5,1874.45,69.42407407407407,25-48 Months,0,0,3,0.03194264,3.19,Low,Maintain loyalty and engagement
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,0,1,20.2,20.2,0-6 Months,0,0,0,0.27277797,27.28,Low,Maintain loyalty and engagement
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,0,1,45.25,45.25,0-6 Months,1,0,0,0.61555916,61.56,High,Offer technical support and security services
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,0,6,7251.7,100.71805555555555,49-72 Months,0,1,1,0.005676232,0.57,Low,Maintain loyalty and engagement
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,1,1,316.9,63.379999999999995,0-6 Months,1,0,0,0.58533025,58.53,High,Offer technical support and security services
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,0,2,3548.3,77.13695652173914,25-48 Months,1,0,2,0.19673087,19.67,Low,Maintain loyalty and engagement
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,1,6,3549.25,104.38970588235294,25-48 Months,1,1,1,0.5045252,50.45,High,Offer technical support and security services
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,1,5,1105.4,100.4909090909091,7-12 Months,1,1,3,0.9031669,90.32,Critical,Offer contract upgrade with personalized retention incentive
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,0,2,475.7,47.57,7-12 Months,1,0,0,0.08400841,8.4,Low,Maintain loyalty and engagement
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,0,5,4872.35,69.605,49-72 Months,0,0,1,0.050926942,5.09,Low,Maintain loyalty and engagement
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,0,1,418.25,24.602941176470587,13-24 Months,0,0,0,0.02200583,2.2,Low,Maintain loyalty and engagement
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,0,7,4861.45,77.16587301587302,49-72 Months,0,0,1,0.015759313,1.58,Low,Maintain loyalty and engagement
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,0,6,981.45,75.49615384615385,13-24 Months,0,0,3,0.27081856,27.08,Low,Maintain loyalty and engagement
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,0,3,3906.7,79.72857142857143,49-72 Months,1,0,1,0.46467507,46.47,Medium,Monitor customer and send personalized engagement offer
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,0,2,97.0,48.5,0-6 Months,1,0,0,0.33152208,33.15,Low,Maintain loyalty and engagement
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,1,2,144.15,72.075,0-6 Months,1,0,3,0.6884927,68.85,High,Offer technical support and security services
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,0,6,4217.8,81.11153846153846,49-72 Months,0,0,1,0.029700385,2.97,Low,Maintain loyalty and engagement
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,0,5,4254.1,61.6536231884058,49-72 Months,0,0,1,0.010731456,1.07,Low,Maintain loyalty and engagement
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,0,4,3838.75,89.27325581395348,25-48 Months,1,1,1,0.36771038,36.77,Medium,Monitor customer and send personalized engagement offer
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,1,5,1426.4,95.09333333333333,13-24 Months,0,1,3,0.69276756,69.28,High,Promote annual contract with loyalty benefit
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,0,5,1752.65,70.10600000000001,25-48 Months,0,0,3,0.11112536,11.11,Low,Maintain loyalty and engagement
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,1,3,633.3,79.1625,7-12 Months,1,0,3,0.6939293,69.39,High,Offer technical support and security services
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,0,6,4456.35,74.27250000000001,49-72 Months,0,0,1,0.047494564,4.75,Low,Maintain loyalty and engagement
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,1,4,1752.55,97.36388888888888,13-24 Months,1,1,3,0.6851313,68.51,High,Offer technical support and security services
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,0,5,6311.2,100.17777777777778,49-72 Months,0,1,1,0.14211285,14.21,Low,Maintain loyalty and engagement
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,0,7,7076.35,107.21742424242424,49-72 Months,0,1,1,0.23499997,23.5,Low,Maintain loyalty and engagement
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,0,2,894.3,26.302941176470586,25-48 Months,0,0,2,0.012410658,1.24,Low,Maintain loyalty and engagement
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,0,6,7853.7,109.07916666666667,49-72 Months,0,1,1,0.040666193,4.07,Low,Maintain loyalty and engagement
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,0,5,4707.1,100.15106382978725,25-48 Months,1,1,1,0.48043618,48.04,Medium,Monitor customer and send personalized engagement offer
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,0,4,5450.7,90.845,49-72 Months,1,1,1,0.1742134,17.42,Low,Maintain loyalty and engagement
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,0,3,2962.0,41.138888888888886,49-72 Months,0,0,2,0.01017467,1.02,Low,Maintain loyalty and engagement
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,0,3,957.1,53.172222222222224,13-24 Months,0,0,3,0.05929383,5.93,Low,Maintain loyalty and engagement
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,1,4,857.25,95.25,7-12 Months,1,1,3,0.8243804,82.44,Critical,Offer contract upgrade with personalized retention incentive
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,0,5,244.1,81.36666666666666,0-6 Months,0,0,3,0.34393722,34.39,Low,Maintain loyalty and engagement
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,0,3,3650.35,77.66702127659575,25-48 Months,1,0,3,0.18901123,18.9,Low,Maintain loyalty and engagement
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,0,6,2497.2,80.55483870967741,25-48 Months,0,0,3,0.018794773,1.88,Low,Maintain loyalty and engagement
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,0,1,930.9,18.618,49-72 Months,0,0,2,0.0051020156,0.51,Low,Maintain loyalty and engagement
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,0,3,887.35,88.735,7-12 Months,0,0,3,0.3968465,39.68,Medium,Monitor customer and send personalized engagement offer
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,0,2,49.05,49.05,0-6 Months,0,0,0,0.21955939,21.96,Low,Maintain loyalty and engagement
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,0,1,1090.65,20.974038461538463,49-72 Months,0,0,2,0.03178976,3.18,Low,Maintain loyalty and engagement
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,0,7,7099.0,110.921875,49-72 Months,0,1,1,0.06798114,6.8,Low,Maintain loyalty and engagement
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,0,2,1424.6,22.97741935483871,49-72 Months,0,0,2,0.008360256,0.84,Low,Maintain loyalty and engagement
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,0,4,177.4,59.13333333333333,0-6 Months,0,0,3,0.24407881,24.41,Low,Maintain loyalty and engagement
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,0,7,6139.5,109.63392857142857,49-72 Months,0,1,1,0.1666547,16.67,Low,Maintain loyalty and engagement
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,0,2,2688.85,58.45326086956521,25-48 Months,1,0,2,0.124017894,12.4,Low,Maintain loyalty and engagement
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,0,3,482.25,60.28125,7-12 Months,0,0,3,0.15394026,15.39,Low,Maintain loyalty and engagement
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,0,5,2111.3,70.37666666666668,25-48 Months,0,0,3,0.16162021,16.16,Low,Maintain loyalty and engagement
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,0,2,1216.6,27.035555555555554,25-48 Months,0,0,2,0.03994047,3.99,Low,Maintain loyalty and engagement
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,1,2,79.35,79.35,0-6 Months,1,0,3,0.88824266,88.82,Critical,Offer contract upgrade with personalized retention incentive
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,0,3,565.35,51.39545454545455,7-12 Months,0,0,0,0.2340757,23.41,Low,Maintain loyalty and engagement
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,1,2,496.9,70.98571428571428,7-12 Months,1,0,3,0.5622425,56.22,High,Offer technical support and security services
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,0,6,4327.5,103.03571428571429,25-48 Months,0,1,1,0.3188696,31.89,Low,Maintain loyalty and engagement
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,0,1,973.35,19.864285714285714,49-72 Months,0,0,2,0.011583535,1.16,Low,Maintain loyalty and engagement
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,0,5,918.75,102.08333333333333,7-12 Months,1,1,3,0.89978254,89.98,Critical,Offer contract upgrade with personalized retention incentive
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,0,3,2215.45,63.29857142857142,25-48 Months,0,0,3,0.05206114,5.21,Low,Maintain loyalty and engagement
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,No,0,1,1057.0,22.020833333333332,25-48 Months,0,0,2,0.010061426,1.01,Low,Maintain loyalty and engagement
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,0,1,927.1,20.15434782608696,25-48 Months,0,0,2,0.00817269,0.82,Low,Maintain loyalty and engagement
3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,0,1,1009.25,34.80172413793103,25-48 Months,1,0,0,0.2721541,27.22,Low,Maintain loyalty and engagement
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,0,3,2570.2,85.67333333333333,25-48 Months,1,0,3,0.22949004,22.95,Low,Maintain loyalty and engagement
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,0,2,74.7,74.7,0-6 Months,0,0,3,0.5056851,50.57,High,Promote annual contract with loyalty benefit
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,0,7,5714.25,86.57954545454545,49-72 Months,0,0,1,0.019742161,1.97,Low,Maintain loyalty and engagement
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,0,7,7107.0,109.33846153846154,49-72 Months,0,1,1,0.13729678,13.73,Low,Maintain loyalty and engagement
9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,0,6,7459.05,103.59791666666666,49-72 Months,1,1,1,0.10727051,10.73,Low,Maintain loyalty and engagement
8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,1,3,927.35,77.27916666666667,7-12 Months,0,0,3,0.5661335,56.61,High,Promote annual contract with loyalty benefit
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,0,5,4748.7,66.8830985915493,49-72 Months,0,0,1,0.018681727,1.87,Low,Maintain loyalty and engagement
0278-YXOOG,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,1,1,113.85,22.77,0-6 Months,0,0,0,0.11445,11.44,Low,Maintain loyalty and engagement
3212-KXOCR,Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,No,0,1,1107.2,21.292307692307695,49-72 Months,0,0,2,0.012982735,1.3,Low,Maintain loyalty and engagement
